"year","month","sst"
1975,11,25.19
1975,12,24.87
1976,1,24.79
1976,2,25.58
1976,3,26.59
1976,4,27.07
1976,5,27.34
1976,6,27.37
1976,7,27.15
1976,8,26.96
1976,9,27.03
1976,10,27.49
1976,11,27.38
1976,12,27.24
1977,1,27.36
1977,2,27.22
1977,3,27.56
1977,4,27.65
1977,5,27.94
1977,6,27.92
1977,7,27.51
1977,8,26.91
1977,9,27.08
1977,10,27.31
1977,11,27.28
1977,12,27.36
1978,1,27.24
1978,2,27.14
1978,3,27.2
1978,4,27.22
1978,5,27.41
1978,6,27.15
1978,7,26.76
1978,8,26.17
1978,9,26.12
1978,10,26.3
1978,11,26.43
1978,12,26.58
1979,1,26.49
1979,2,26.61
1979,3,27.42
1979,4,27.93
1979,5,27.88
1979,6,27.6
1979,7,27.05
1979,8,26.85
1979,9,27.14
1979,10,26.92
1979,11,27.1
1979,12,27.18
1980,1,27.15
1980,2,27.1
1980,3,27.38
1980,4,27.86
1980,5,28.15
1980,6,28.04
1980,7,27.46
1980,8,26.74
1980,9,26.63
1980,10,26.57
1980,11,26.69
1980,12,26.81
1981,1,26.38
1981,2,26.29
1981,3,26.81
1981,4,27.42
1981,5,27.51
1981,6,27.41
1981,7,26.79
1981,8,26.44
1981,9,26.56
1981,10,26.53
1981,11,26.45
1981,12,26.56
1982,1,26.84
1982,2,26.7
1982,3,27.52
1982,4,28.13
1982,5,28.46
1982,6,28.33
1982,7,27.75
1982,8,27.66
1982,9,28.22
1982,10,28.66
1982,11,28.67
1982,12,28.85
1983,1,28.81
1983,2,28.67
1983,3,28.71
1983,4,28.83
1983,5,28.89
1983,6,28.33
1983,7,27.26
1983,8,26.77
1983,9,26.43
1983,10,25.9
1983,11,25.75
1983,12,25.87
1984,1,26.08
1984,2,26.72
1984,3,26.99
1984,4,27.31
1984,5,27.41
1984,6,27.07
1984,7,26.95
1984,8,26.67
1984,9,26.46
1984,10,26.18
1984,11,25.65
1984,12,25.46
1985,1,25.69
1985,2,26.23
1985,3,26.65
1985,4,26.86
1985,5,27.11
1985,6,26.96
1985,7,26.79
1985,8,26.45
1985,9,26.18
1985,10,26.38
1985,11,26.48
1985,12,26.37
1986,1,26.13
1986,2,26.27
1986,3,27.03
1986,4,27.63
1986,5,27.64
1986,6,27.57
1986,7,27.27
1986,8,27.21
1986,9,27.36
1986,10,27.56
1986,11,27.65
1986,12,27.68
1987,1,27.73
1987,2,27.97
1987,3,28.47
1987,4,28.66
1987,5,28.61
1987,6,28.61
1987,7,28.53
1987,8,28.41
1987,9,28.37
1987,10,28.07
1987,11,27.87
1987,12,27.63
1988,1,27.5
1988,2,27.13
1988,3,27.41
1988,4,27.54
1988,5,26.96
1988,6,26.28
1988,7,25.75
1988,8,25.74
1988,9,25.81
1988,10,25.02
1988,11,24.85
1988,12,24.89
1989,1,24.83
1989,2,25.44
1989,3,26.21
1989,4,26.81
1989,5,27.2
1989,6,27.21
1989,7,26.85
1989,8,26.47
1989,9,26.5
1989,10,26.41
1989,11,26.32
1989,12,26.6
1990,1,26.68
1990,2,27.02
1990,3,27.38
1990,4,27.9
1990,5,28.05
1990,6,27.72
1990,7,27.51
1990,8,27.12
1990,9,27.03
1990,10,27.08
1990,11,26.89
1990,12,27.04
1991,1,27.12
1991,2,27.19
1991,3,27.46
1991,4,28.14
1991,5,28.29
1991,6,28.27
1991,7,28.08
1991,8,27.71
1991,9,27.35
1991,10,27.7
1991,11,27.97
1991,12,28.28
1992,1,28.39
1992,2,28.51
1992,3,28.65
1992,4,29.04
1992,5,29
1992,6,28.5
1992,7,27.76
1992,8,27.1
1992,9,26.86
1992,10,26.67
1992,11,26.68
1992,12,26.76
1993,1,26.88
1993,2,27.25
1993,3,27.78
1993,4,28.62
1993,5,28.86
1993,6,28.28
1993,7,27.6
1993,8,27.04
1993,9,27.19
1993,10,27.03
1993,11,26.9
1993,12,26.93
1994,1,26.86
1994,2,27
1994,3,27.5
1994,4,28.16
1994,5,28.35
1994,6,28.08
1994,7,27.63
1994,8,27.44
1994,9,27.14
1994,10,27.45
1994,11,27.87
1994,12,27.94
1995,1,27.68
1995,2,27.59
1995,3,27.81
1995,4,28.18
1995,5,28
1995,6,27.77
1995,7,27.2
1995,8,26.5
1995,9,26.11
1995,10,25.96
1995,11,25.8
1995,12,25.83
1996,1,25.88
1996,2,26.09
1996,3,26.78
1996,4,27.53
1996,5,27.75
1996,6,27.54
1996,7,27.09
1996,8,26.79
