lat,lon,n,year,month,day,ozone,ozone_max,hour_max,aqi,pressure,humidity,temp,windsp,winddir
33.83062,-117.93845,24,2001,10,25,0.026417,0.059,11,50,29.816667,63.625,65.583333,2.9625,160.875
33.83062,-117.93845,24,2001,10,26,0.020792,0.044,11,37,29.833333,53.708333,64.791667,2.545833,276.75
33.83062,-117.93845,24,2001,10,27,0.021208,0.038,9,32,29.829167,50.458333,63,2.891667,179.375
33.83062,-117.93845,24,2001,10,28,0.025667,0.035,8,30,29.879167,68.416667,64,2.279167,197.5
33.83062,-117.93845,24,2001,10,29,0.0135,0.023,8,19,29.925,72.791667,64.958333,2.170833,256.291667
33.83062,-117.93845,24,2001,10,30,0.008208,0.01,6,8,29.833333,85.125,64.25,2.275,207.666667
33.83062,-117.93845,24,2001,10,31,0.014958,0.024,9,20,29.8,42.208333,62.291667,2.6,189.625
33.83062,-117.93845,24,2001,11,1,0.017875,0.032,10,27,29.8125,64.375,62.958333,2.416667,186.25
33.83062,-117.93845,24,2001,11,2,0.016958,0.033,10,28,29.808333,64.791667,60.833333,2.6,178.708333
33.83062,-117.93845,24,2001,11,3,0.02375,0.044,12,37,29.829167,62.166667,62.583333,2.45,198.416667
33.83062,-117.93845,24,2001,11,4,0.019667,0.029,11,25,29.8,50.25,63.833333,2.625,204.583333
33.83062,-117.93845,24,2001,11,5,0.0215,0.03,20,25,29.733333,34.25,62.916667,2.35,193
33.83062,-117.93845,24,2001,11,6,0.02875,0.038,11,32,29.770833,65.708333,62.5,2.529167,219
33.83062,-117.93845,24,2001,11,7,0.018875,0.034,10,29,29.883333,84.333333,62.875,2.020833,209.291667
33.83062,-117.93845,24,2001,11,8,0.014792,0.021,9,18,29.883333,46.416667,65.166667,2.091667,180.208333
33.83062,-117.93845,24,2001,11,9,0.038167,0.052,10,44,24.8875,48.958333,54,2.375,153.666667
33.83062,-117.93845,24,2001,11,10,0.031833,0.037,9,31,29.9,83.125,63.75,2.025,160.958333
33.83062,-117.93845,24,2001,11,11,0.022875,0.035,9,30,29.9,60.583333,63.458333,2.5125,180.458333
33.83062,-117.93845,24,2001,11,12,0.017292,0.029,11,25,29.8375,38.583333,60.75,2.966667,148.041667
33.83062,-117.93845,24,2001,11,13,0.015042,0.028,9,24,29.8875,52.5,59.791667,2.383333,145.833333
33.83062,-117.93845,24,2001,11,14,0.012583,0.022,8,19,29.825,78.041667,61.125,2.683333,144.166667
33.83062,-117.93845,24,2001,11,15,0.014583,0.028,9,24,29.754167,71.208333,63,2.45,138.375
33.83062,-117.93845,24,2001,11,16,0.011125,0.018,9,15,29.8125,68.333333,62.875,2.370833,154.125
33.83062,-117.93845,24,2001,11,17,0.011083,0.017,9,14,29.8625,65.958333,59.25,1.8875,158.958333
33.83062,-117.93845,24,2001,11,18,0.016125,0.031,9,26,29.875,49.791667,59.375,1.85,180.041667
33.83062,-117.93845,24,2001,11,19,0.01025,0.016,8,14,29.916667,71.583333,62.291667,1.916667,132.791667
33.83062,-117.93845,24,2001,11,20,0.008792,0.012,7,10,29.858333,71.75,63.583333,1.808333,184.375
33.83062,-117.93845,24,2001,11,21,0.009167,0.013,7,11,29.783333,68.5,60.75,2.675,135.291667
33.83062,-117.93845,24,2001,11,22,0.017167,0.03,10,25,29.741667,62.333333,60.916667,2.95,128.625
33.83062,-117.93845,24,2001,11,23,0.01525,0.03,9,25,29.716667,54.416667,60.333333,2.6,131.541667
33.83062,-117.93845,24,2001,11,24,0.021208,0.03,10,25,29.695833,71.666667,56.5,4.625,157.708333
33.83062,-117.93845,24,2001,11,25,0.017333,0.032,9,27,29.841667,69.083333,54.458333,2.666667,197.166667
33.83062,-117.93845,24,2001,11,26,0.011708,0.019,8,16,29.854167,74.958333,53.458333,2.516667,119.958333
33.83062,-117.93845,24,2001,11,27,0.020375,0.029,8,25,29.858333,26.666667,56.791667,7.158333,56.333333
33.83062,-117.93845,24,2001,11,28,0.011583,0.02,8,17,29.891667,28.458333,55.458333,2.679167,143.375
